x,y,avg
-2.894736842,-0.789473684,72.416
-2.894736842,-0.263157895,68.218
-5,-0.789473684,204.729
-2.894736842,0.263157895,69.346
-2.894736842,0.789473684,76.185
-2.894736842,1.315789474,84.594
-2.894736842,1.842105263,96.294
-2.894736842,2.368421053,111.923
-2.894736842,2.894736842,130.507
-2.894736842,3.421052632,158.553
-2.894736842,4.473684211,239.596
-2.894736842,5,144.862
-5,-0.263157895,208.256
