x,y,ratio
2.368421053,-2.894736842,0.801571293
2.368421053,-2.368421053,0.771734117
2.368421053,-1.842105263,0.749601392
2.368421053,-1.315789474,0.728673158
2.368421053,-0.789473684,0.730366784
2.368421053,-0.263157895,0.714180617
2.368421053,0.263157895,0.729700883
2.368421053,0.789473684,0.734350548
2.368421053,1.315789474,0.742361079
2.368421053,1.842105263,0.762479058
2.368421053,2.368421053,0.7870543
2.368421053,2.894736842,0.835189127
2.368421053,3.421052632,0.891093187
2.368421053,3.947368421,0.949879792
2.368421053,5,0.911451461
-5,-3.947368421,0.814072343
2.894736842,-5,0.852542649
2.894736842,-4.473684211,0.882959616
2.894736842,-3.421052632,0.886071979
2.894736842,-2.894736842,0.842182738
2.894736842,-2.368421053,0.815394064
2.894736842,-1.842105263,0.795891406
2.894736842,-1.315789474,0.782449146
2.894736842,-0.789473684,0.782606832
2.894736842,-0.263157895,0.784132459
2.894736842,0.263157895,0.767574595
2.894736842,0.789473684,0.791596854
2.894736842,1.315789474,0.780445193
2.894736842,1.842105263,0.812008251
2.894736842,2.368421053,0.838845817
2.894736842,2.894736842,0.875134417
2.894736842,3.421052632,0.926680984
2.894736842,4.473684211,0.935685038
2.894736842,5,0.890123079
3.421052632,-5,0.861942241
3.421052632,-4.473684211,0.884448974
3.421052632,-2.894736842,0.886784259
3.421052632,-2.368421053,0.863517535
3.421052632,-1.842105263,0.849185504
3.421052632,-1.315789474,0.857034341
3.421052632,-0.789473684,0.860951316
3.421052632,-0.263157895,0.856670716
3.421052632,0.263157895,0.851424484
3.421052632,0.789473684,0.846066258
3.421052632,1.315789474,0.863379011
3.421052632,1.842105263,0.871918034
3.421052632,2.368421053,0.89033079
3.421052632,2.894736842,0.918013318
3.421052632,4.473684211,0.895610126
3.421052632,5,0.868874232
3.947368421,-5,0.891847461
3.947368421,-4.473684211,0.911116097
3.947368421,-3.947368421,0.923642465
3.947368421,-2.894736842,0.92708582
3.947368421,-2.368421053,0.925571174
3.947368421,-1.842105263,0.926307525
3.947368421,-1.315789474,0.921343574
3.947368421,-0.789473684,0.925839833
3.947368421,-0.263157895,0.926611268
3.947368421,0.263157895,0.921579894
3.947368421,0.789473684,0.924982114
3.947368421,1.315789474,0.918795789
3.947368421,1.842105263,0.928219541
3.947368421,2.368421053,0.950353825
3.947368421,2.894736842,0.967308648
3.947368421,3.947368421,0.911397501
3.947368421,4.473684211,0.864635241
3.947368421,5,0.831707796
-4.473684211,3.421052632,
4.473684211,3.421052632,1.12621988
4.473684211,3.947368421,0.632750127
4.473684211,4.473684211,0.659255712
4.473684211,5,0.622444486
-4.473684211,3.947368421,1.119396814
5,-5,2.67653768
5,-4.473684211,0.999806292
5,-3.947368421,0.912326667
5,-3.421052632,0.898860837
5,-2.894736842,0.906479657
5,-2.368421053,0.895616706
5,-1.842105263,0.905211229
5,-1.315789474,0.909887263
5,-0.789473684,0.913697731
5,-0.263157895,0.914267784
-4.473684211,4.473684211,0.251692281
5,0.263157895,2.967956345
5,0.789473684,0.91297475
5,1.315789474,0.878000538
5,1.842105263,0.803129097
5,2.368421053,0.792343988
5,2.894736842,0.715438202
5,3.421052632,0.679586125
5,3.947368421,0.660998342
5,4.473684211,0.673769734
5,5,0.684609561
-4.473684211,5,0.749731392
-5,-3.421052632,1.060316587
-3.947368421,-5,0.639673035
